,Article,Link
0,Learning the language of molecules to predict their properties,https://news.mit.edu/2023/learning-language-molecules-predict-properties-0707
1,MIT scientists build a system that can generate AI models for biology research,https://news.mit.edu/2023/bioautomated-open-source-machine-learning-platform-for-research-labs-0706
2,"When computer vision works more like a brain, it sees more like people do",https://news.mit.edu/2023/when-computer-vision-works-like-human-brain-0630
3,Educating national security leaders on artificial intelligence,https://news.mit.edu/2023/educating-national-security-leaders-ai-0630
4,Researchers teach an AI to write better chart captions,https://news.mit.edu/2023/researchers-chart-captions-ai-vistext-0630
5,Computer vision system marries image recognition and generation ,https://news.mit.edu/2023/computer-vision-system-marries-image-recognition-generation-0628
6,Gamifying medical data labeling to advance AI,https://news.mit.edu/2023/gamifying-medical-data-labeling-ai-0628
7,Day of AI curriculum meets the moment,https://news.mit.edu/2023/day-ai-curriculum-meets-moment-0626
8,MIT-Pillar AI Collective announces first seed grant recipients,https://news.mit.edu/2023/mit-pillar-ai-collective-first-seed-grant-recipients-0622
9,Envisioning the future of computing,https://news.mit.edu/2023/envisioning-future-computing-0616
10,Novo Nordisk to support MIT postdocs working at the intersection of AI and life sciences,https://news.mit.edu/2023/novo-nordisk-support-mit-postdocs-intersection-ai-life-sciences-0615
11,"If art is how we express our humanity, where does AI fit in?",https://news.mit.edu/2023/generative-ai-art-expression-0615
12,David Autor named NOMIS 2023 Distinguished Scientist,https://news.mit.edu/2023/david-autor-named-nomis-distinguished-scientist-0614
13,Defining the public interest in new technologies,https://news.mit.edu/2023/defining-public-interest-new-technologies-0613
14,A step toward safe and reliable autopilots for flying,https://news.mit.edu/2023/safe-and-reliable-autopilots-flying-0612
15,Three Spanish MIT physics postdocs receive Botton Foundation fellowships,https://news.mit.edu/2023/botton-foundation-fellowships-spanish-mit-physics-postdocs-0609
16,Bringing the social and ethical responsibilities of computing to the forefront,https://news.mit.edu/2023/bringing-social-ethical-responsibilities-computing-forefront-0608
17,New model offers a way to speed up drug discovery,https://news.mit.edu/2023/new-model-offers-speedy-drug-discovery-0608
18,MIT researchers make language models scalable self-learners,https://news.mit.edu/2023/language-models-scalable-self-learners-0608
19,"Q&A: Gabriela Sá Pessoa on Brazilian politics, human rights in the Amazon, and AI",https://news.mit.edu/2023/gabriela-sa-pessoa-brazilian-politics-human-rights-amazon-ai-0606
20,Scaling audio-visual learning without labels,https://news.mit.edu/2023/scaling-audio-visual-learning-without-labels-0605
21,Driven to driverless,https://news.mit.edu/2023/driven-driverless-alejandra-heredia-0531
22,New tool helps people choose the right method for evaluating AI models,https://news.mit.edu/2023/new-tool-helps-people-choose-right-method-evaluating-ai-models-0531
23,"A more effective way to train machines for uncertain, real-world situations",https://news.mit.edu/2023/more-effective-train-machines-uncertain-real-world-situations-0531
24,Celebrating the impact of IDSS,https://news.mit.edu/2023/celebrating-impact-idss-0526
25,"Using AI, scientists find a drug that could combat drug-resistant infections",https://news.mit.edu/2023/using-ai-scientists-combat-drug-resistant-infections-0525
26,Probabilistic AI that knows how well it’s working,https://news.mit.edu/2023/probabilistic-ai-knows-how-well-its-working-0525
27,Researchers use AI to identify similar materials in images,https://news.mit.edu/2023/researchers-identify-similar-materials-images-0523
28,Using data to write songs for progress,https://news.mit.edu/2023/using-data-write-songs-progress-0521
